,Title,Address,City,State,PostalCode,Units,Open Date,Phase,Latitude,Longitude,Market,Submarket
848,aloft Hotel Florence,820 Woody Jones Blvd,Florence,SC,29501-7419,95,3/18/2022,In Construction,34.1835275,-79.8387732,South Carolina Area,Florence/Dillon 
849,Wyndham Orlando,2635 McCoy Rd,Belle Isle,FL,32809-7833,110,11/30/2022,In Construction,28.452219,-81.349137,Orlando,Orlando South 
850,Glo Hotel Best Western Providence,322 Washington St,Providence,RI,2903,76,,Planning,41.819138,-71.4197498,Rhode Island,Rhode Island 
851,West Elm Hotel Savannah,607 Drayton St,Savannah,GA,31401-5772,96,,Planning,32.0686034,-81.094267,Savannah,Savannah Historic District 
852,Studio 6 Big Spring,Hwy 87 & IH 20,Big Spring,TX,79720,40,3/31/2023,Planning,32.261381,-101.505115,Texas North,Panhandle Area TX 
853,Motel 6 Big Spring,806 W Interstate 20,Big Spring,TX,79720-0003,40,3/31/2023,Planning,32.2634962,-101.4939125,Texas North,Panhandle Area TX 
854,Studio 6 Chicago,2300 S Indiana Ave,Chicago,IL,60616,203,3/31/2023,Planning,41.850971,-87.622653,Chicago,Chicago CBD 
855,Holiday Inn Express & Suites Sherwood,120 Heritage Ln,Sherwood,AR,72120,87,10/1/2022,Final Planning,34.815648,-92.207171,Little Rock,Little Rock North & East 
856,Holiday Inn DeSoto,1307 N Interstate 35 E,Desoto,TX,75115,124,,Deferred,32.6135801,-96.8241704,Dallas,Dallas South/East 
857,Motel 6 Aransas Pass,W Wheeler Ave & Hwy 1069,Aransas Pass,TX,78336,50,4/30/2022,Final Planning,27.9229579,-97.174691,Texas South,Corpus Christi 
858,Motel 6 Tehachapi,1 Challenger Dr,Tehachapi,CA,93561,75,,Deferred,35.1457477,-118.4485323,California South/Central,Bakersfield 
859,Motel 6 San Bernardino,26493 Highland Ave,Highland,CA,92346,60,10/1/2022,Planning,34.1355538,-117.2265034,Inland Empire,Riverside & San Bernardino Center 
860,Motel 6 Rio Grande City,Highway 83 & Redwood St,Rio Grande City,TX,78582,60,7/1/2022,Planning,26.3703215,-98.7957325,Texas South,Texas South Area 
861,Motel 6 Portland,11144 NE Sandy Blvd,Portland,OR,97220-2554,62,3/31/2023,Planning,45.5577226,-122.547791,Portland,Portland Airport/Vancouver 
862,Studio 6 Lake Worth,I 820 & 199,Lake Worth,TX,76135,40,8/31/2022,Final Planning,32.7970758,-97.4408074,Fort Worth/Arlington,Fort Worth CBD/I-820 West 
863,Motel 6 Lake Worth,I 820 & 199,Lake Worth,TX,76135,40,7/31/2022,In Construction,32.796865,-97.442578,Fort Worth/Arlington,Fort Worth CBD/I-820 West 
864,Holiday Inn Express Blackwood,2000 N Black Horse Pike,Glendora,NJ,8012,73,,Final Planning,39.8329865,-75.0679992,Philadelphia,South Jersey 
865,Virgin Hotel Silicon Valley,McCandless Dr,Milpitas,CA,95035,200,6/1/2022,Planning,37.4114166,-121.898335,San Jose/Santa Cruz,Santa Clara/Sunnyvale/Milpitas 
866,Collins Park Hotel,2000 Park Ave,Miami Beach,FL,33139,295,8/1/2021,In Construction,25.79664,-80.131231,Miami,Miami Beach 
867,Six Senses New York,76 11th Ave,New York,NY,10011-2813,136,5/31/2021,In Construction,40.7449268,-74.0078568,New York,Village/Soho/Tribeca 
868,La Quinta Inns & Suites Charleston,0 Northside Dr,North Charleston,SC,29420,104,12/31/2023,Final Planning,32.93285,-80.048512,Charleston,Charleston Airport 
869,La Quinta Inn & Suites San Antonio Sea World,7502 NW Loop 410,San Antonio,TX,78245-2346,93,12/31/2022,In Construction,29.4439086,-98.6360109,San Antonio,San Antonio Northwest/Sea World 
870,La Quinta Inn & Suites San Diego Gaslamp,923 Island Ave,San Diego,CA,92101-7227,91,1/31/2023,Planning,32.7102508,-117.1561113,San Diego,San Diego CBD 
871,La Quinta Inns & Suites Austin Tech Ridge,106 Canyon Rim Dr,Austin,TX,78746-5015,114,10/31/2022,In Construction,30.3977761,-97.6679312,Austin,Austin US-290/I-35 Area 
872,Woodspring Suites Sacramento,3845 Rosin Ct,Sacramento,CA,95834,123,,Abandoned,38.6401101,-121.4759636,Sacramento,Sacramento Northwest 
873,Days Inn Bronx,3466 Webster Ave,Bronx,NY,10467-4963,47,6/1/2022,In Construction,40.8778952,-73.8714283,New York,New York City Area 
874,Howard Johnson Brooklyn,235 24th St,Brooklyn,NY,11232-1406,58,,Abandoned,40.6614199,-73.9976655,New York,New York City Area 
875,Sleep Inn & Suites La Pine,Hwy 97,La Pine,OR,97739,43,10/5/2021,In Construction,43.7089915,-121.4744104,Oregon Area,Oregon East Area 
876,Cambria hotel & suites Galveston,517 1/2 Seawall Blvd,Galveston,TX,77550,100,,Abandoned,29.3352665,-94.7544441,Texas East,Galveston & Texas City 
877,Cambria Hotel & Suites Waco University Riverfront,110 S Martin Luther King Jr Blvd,Waco,TX,76704,135,6/30/2022,In Construction,31.5626276,-97.1249331,Texas West,Waco & Killeen 
878,Sleep Inn Splendora,13841 Old Highway 59 N,Splendora,TX,77372,37,5/31/2022,Planning,30.2442473,-95.1557094,Houston,Houston North/Woodlands 
879,Microtel Inn & Suites by Wyndham Easton,I-22 At I-33,Easton,PA,18045,90,3/31/2023,Planning,40.6859024,-75.2857011,Allentown & Reading,Allentown PA 
880,Microtel Inn & Suites by Wyndham Fredericksburg,9901 Jefferson Davis Hwy,Fredericksburg,VA,22407,90,3/31/2023,Planning,38.2216882,-77.5051132,Washington,I-95 Fredericksburg 
881,Best Western Plus South Tacoma Hotel,8045 S Hosmer St,Tacoma,WA,98408-1042,85,6/1/2021,In Construction,47.183128,-122.46249,Washington State,Tacoma/Olympia 
882,Super 8 Bryan,3345 University Dr E,Bryan,TX,77802,69,3/31/2023,Planning,30.6534148,-96.2943053,Texas West,Central Texas Area 
883,Super 8 Dallas,10341 Finnell St,Dallas,TX,75220,77,3/31/2023,Planning,32.864817,-96.8939304,Dallas,Farmers Branch/Stemmons Fwy North 
884,Fairfield Inn & Suites Bonita Springs,28090 La Plaza Bonita Loop,Bonita Springs,FL,34135,113,7/1/2021,In Construction,26.3297695,-81.7591344,Fort Myers,Fort Myers/Bonita Springs 
885,Fairfield Inn & Suites Fort Lauderdale North Cypress Creek,Cypress Creek Rd & N Andrews Ave,Fort Lauderdale,FL,33309,130,4/10/2023,Final Planning,26.2067049,-80.1451276,Fort Lauderdale,Coral Springs/Pompano Beach 
886,Fairfield Inn & Suites Austin Bastrop,521 Agnes St,Bastrop,TX,78602,80,,Abandoned,30.1051428,-97.3374778,Austin,San Marcos/Austin Surrounding 
887,TownePlace Suites Los Angeles Pasadena Monrovia,116 W Huntington Dr,Monrovia,CA,91016-3417,113,10/15/2022,Final Planning,34.140101,-118.001701,Los Angeles,Los Angeles East 
888,TownePlace Suites Santa Ana Irvine,2652 White Rd,Irvine,CA,92614-6248,165,3/30/2023,Final Planning,33.679085,-117.843184,Orange County,Santa Ana/Costa Mesa 
889,Hampton Inn & Suites Jamaica AirTrain JFK,9075 Sutphin Blvd,Jamaica,NY,11435-4333,213,6/1/2022,In Construction,40.7012594,-73.8071177,New York,JFK/Jamaica 
890,Hampton Inn & Suites Tigard,11799 SW 69th Ave,Tigard,OR,97223-8545,152,5/1/2021,In Construction,45.4347821,-122.7478943,Portland,Lake Oswego/I-5 South 
891,Hampton Inn & Suites Oregon City,415 17th St,Oregon City,OR,97045,99,11/11/2022,Planning,45.3647011,-122.5974009,Portland,Portland I-84/I-205 East 
892,Hampton Inn & Suites by Hilton South Burlington,1068 Williston Rd,South Burlington,VT,05403-5718,101,1/10/2023,Final Planning,44.470171,-73.180642,Vermont,Vermont North Area 
893,Homewood Suites by Hilton Secaucus Meadowlands,875 E Route 3 Rd,Secaucus,NJ,7094,101,4/14/2022,Planning,40.7820777,-74.0484744,Central New Jersey,Jersey City/Secaucus 
894,Home2 Suites by Hilton Concord Charlotte,7300 Bruton Smith Blvd,Concord,NC,28027,100,4/22/2024,Planning,35.3671418,-80.7044742,Charlotte,Concord & Salisbury NC 
895,Tru by Hilton Concord Charlotte,7302 Bruton Smith Blvd,Concord,NC,28027,100,4/22/2024,Planning,35.3667667,-80.7043072,Charlotte,Concord & Salisbury NC 
896,Tru by Hilton Erie South,8031 Oliver Rd,Erie,PA,16509-4619,81,4/18/2023,Planning,42.045334,-80.080021,Pennsylvania Area,Erie/Pennsylvania Northwest Area 
897,aloft Hotel Charleston Mount Pleasant,1081 Johnnie Dodds Blvd,Mount Pleasant,SC,29464-3183,110,5/1/2025,Planning,32.8118508,-79.8593715,Charleston,Mount Pleasant/Isle Of Palms 
898,aloft Hotel Stafford,12201 S US 59 Hwy,Stafford,TX,77477,112,9/21/2023,Planning,29.6407656,-95.5753182,Houston,Houston Southwest Freeway 
899,element Stafford,12201 S US 59 Hwy,Stafford,TX,77477,112,9/21/2023,Planning,29.6407656,-95.5753182,Houston,Houston Southwest Freeway 
900,Four Points by Sheraton Denver Airport,16161 E 40th Ave,Denver,CO,80239,144,9/22/2021,In Construction,39.7738632,-104.7996319,Denver,Denver Airport/East 
901,element Irvine,17662 Armstrong Ave,Irvine,CA,92614-5728,124,11/4/2021,In Construction,33.6892677,-117.8519378,Orange County,Santa Ana/Costa Mesa 
902,Tru by Hilton Nashville Downtown The Gulch,602 9th Ave S,Nashville,TN,37203-4107,110,5/9/2024,Final Planning,36.1509656,-86.7801517,Nashville,Nashville CBD 
903,Hampton Inn by Hilton Nashville Downtown The Gulch,602 9th Ave S,Nashville,TN,37203-4107,114,5/11/2024,Planning,36.1509677,-86.780077,Nashville,Nashville CBD 
904,Hampton Inn by Hilton Woodland Hills,21322 Oxnard St,Woodland Hills,CA,91367-5016,125,10/17/2025,Planning,34.1789301,-118.5964085,Los Angeles,Los Angeles North 
905,Hampton Inn & Suites by Hilton Arlington Rosslyn,1501 Arlington Blvd,Arlington,VA,22209,160,8/11/2023,Final Planning,38.8919083,-77.0751095,Washington,Arlington 
906,Hampton Inn by Hilton Dunkirk,3924 Vineyard Dr,Dunkirk,NY,14048-3522,71,7/11/2023,Final Planning,42.4571616,-79.3158641,New York State,New York West Area 
907,aloft Hotel Greensboro,201 N Eugene St,Greensboro,NC,27401-2221,150,,Deferred,36.0738353,-79.7937356,Greensboro/Winston Salem,Greensboro 
908,Westin Wilmington North Carolina,347 Military Cutoff Rd,Wilmington,NC,28405,200,10/1/2024,Final Planning,34.2528869,-77.8258922,North Carolina East,Wilmington NC 
909,Home2 Suites by Hilton Blacksburg,1321 Rugby Ln,Blacksburg,VA,24060,103,7/2/2021,In Construction,37.2158526,-80.4049626,Virginia Area,Blacksburg & Wytheville VA 
910,Hilton Hoboken Waterfront,89 River St,Hoboken,NJ,07030-9600,349,5/24/2022,Final Planning,40.7367186,-74.0280603,Central New Jersey,Jersey City/Secaucus 
911,Holiday Inn Express & Suites Plymouth,2928 Miller Dr,Plymouth,IN,46563-8083,83,,Deferred,41.3603854,-86.3487509,Indiana North,Indiana North Area 
912,Holiday Inn Express & Suites Hamburg,60 Wilderness Trl,Hamburg,PA,19526-8176,75,4/14/2022,Final Planning,40.5632707,-76.0065348,Allentown & Reading,Reading PA 
913,Staybridge Suites Southgate - Detroit Area,12311 Reeck Rd,Southgate,MI,48195,118,5/5/2021,In Construction,42.2187048,-83.2203316,Detroit,Romulus/Airport 
914,Holiday Inn & Suites Southgate,12311 Reeck Rd,Southgate,MI,48195-2228,120,9/1/2023,In Construction,42.214521,-83.223452,Detroit,Romulus/Airport 
915,Holiday Inn Express & Suites Tusculum,210 Morgan Rd,Greeneville,TN,37745,80,8/1/2022,Final Planning,36.183465,-82.75606,Tennessee Area,Tennessee East Area 
916,Hotel Indigo Oklahoma City,330 NE 1st St,Oklahoma City,OK,73104,110,5/31/2022,Final Planning,35.4681187,-97.5065441,Oklahoma City,Oklahoma City CBD 
917,Staybridge Suites Tempe,2060 E Rio Salado Pkwy,Tempe,AZ,85281-4840,105,7/1/2022,Final Planning,33.4303192,-111.8965372,Phoenix,Tempe 
918,Candlewood Suites Yukon,1609 Westend Pointe Blvd,Yukon,OK,73099-7770,90,12/15/2022,Final Planning,35.4820717,-97.7562848,Oklahoma City,Oklahoma City North 
919,The Hotel Buffalo,817 Washington St,Buffalo,NY,14203-1217,115,7/23/2021,In Construction,42.8958977,-78.8696197,Buffalo,Buffalo/Cheektowaga 
920,La Quinta Inns & Suites Farmington,4601 English Rd,Farmington,NM,87402-1106,88,5/31/2023,Final Planning,36.7698153,-108.1492999,New Mexico North,New Mexico North Area 
921,Holiday Inn Lansing,0 Showtime Dr,Lansing,MI,48912,143,,Deferred,42.7674778,-84.518282,Michigan South,Lansing/East Lansing 
922,Holiday Inn Express & Suites Federal Way,34413 Pacific Hwy S,Federal Way,WA,98003-6817,90,5/17/2022,Final Planning,47.293106,-122.316992,Seattle,Kent/Renton 
923,Holiday Inn Express Vilano Beach,140 Vilano Rd,Saint Augustine,FL,32084-2978,50,7/15/2021,In Construction,29.9169837,-81.2940622,Jacksonville,Jacksonville Beaches 
924,Staybridge Suites Bedford,2609 Airport Fwy,Bedford,TX,76021-7926,75,5/31/2022,Final Planning,32.838373,-97.126227,Fort Worth/Arlington,Bedford/Grapevine 
925,Staybridge Suites Fort Myers Airport,13600 Saddle Rd,Fort Myers,FL,33913,93,4/7/2022,Final Planning,26.5450376,-81.7850095,Fort Myers,Fort Myers/Bonita Springs 
926,Candlewood Suites Grandview,12701 E Frontage Rd,Grandview,MO,64030,85,,Deferred,38.8937501,-94.5237914,Kansas City,Kansas City Surrounding MO 
927,Embassy Suites by Hilton Bozeman,1025 Baxter Ln,Bozeman,MT,59715-2537,125,12/11/2024,Final Planning,45.6974518,-111.0518549,Montana,Bozeman/Yellowstone Area MT 
928,Hampton Inn & Suites by Hilton Bozeman,TBD Baxter Ln,Bozeman,MT,59715,107,4/13/2022,Planning,45.6974643,-111.0521986,Montana,Bozeman/Yellowstone Area MT 
929,Hampton Inn by Hilton Columbus Downtown,1201 Broadway,Columbus,GA,31901-5250,91,3/10/2022,In Construction,32.4688578,-84.993668,Georgia South,Columbus/Lagrange 
930,Hilton Garden Inn Clearwater Airport Area,4550 Ulmerton Rd,Clearwater,FL,33762,144,,Deferred,27.8933377,-82.6906111,Tampa,Clearwater 
931,Home2 Suites by Hilton Raleigh North I 540,3951 Sumner Blvd,Raleigh,NC,27616,95,8/20/2021,In Construction,35.863212,-78.568415,Raleigh/Durham/Chapel Hill,Wake Forest/Route 1 NC 
932,Home2 Suites by Hilton Starkville,87-7 Mill St,Starkville,MS,39759,82,12/20/2023,Final Planning,33.4558076,-88.803272,Mississippi,Vicksburg/Central Area 
933,Tru by Hilton Wake Forest,12317 Hampton Way Dr,Wake Forest,NC,27587,84,7/4/2022,In Construction,35.9804443,-78.5435672,Raleigh/Durham/Chapel Hill,Wake Forest/Route 1 NC 
934,Tru by Hilton Biloxi,570 Beach Blvd,Biloxi,MS,39530,90,2/2/2026,Final Planning,30.3938964,-88.8798366,Mississippi,Biloxi/Gulfport 
935,Hampton Inn & Suites Detroit Midtown,4 E Alexandrine St,Detroit,MI,48201-2031,125,12/17/2025,Planning,42.3502975,-83.058824,Detroit,Detroit/Dearborn 
936,Hilton Garden Inn Oakland Airport Alameda,1074 Harbor Bay Pky,Alameda,CA,94502,120,2/28/2025,Planning,37.7278327,-122.2308289,Oakland,Oakland/Berkeley/Hayward 
937,Home2 Suites by Hilton St Peters St Louis,Veterans Memorial Pky,St Peters,MO,63376,105,8/17/2022,Final Planning,38.797174,-90.5918,Saint Louis,St Louis Northwest 
938,Home2 Suites by Hilton Scotrun Swiftwater Poconos,113 Enforcer Ln,Swiftwater,PA,18370,99,11/21/2023,Final Planning,41.0760051,-75.3253457,Pennsylvania Northeast,Poconos & Stroudsburg PA 
939,Tru by Hilton McKinney,3100 Craig Dr,McKinney,TX,75070-4536,84,2/25/2022,In Construction,33.1698969,-96.6444449,Dallas,Denton/Lewisville/McKinney 
940,Tru by Hilton San Bernardino Loma Linda,239 E Hospitality Ln,San Bernardino,CA,92408-3411,98,5/24/2024,Final Planning,34.065245,-117.2828301,Inland Empire,Riverside & San Bernardino Center 
941,Tru by Hilton Rochester Henrietta,335 Kenneth Dr,Rochester,NY,14467,81,5/15/2023,Planning,43.0601289,-77.6441231,Rochester,Rochester Other Areas NY 
942,Tru by Hilton Miami West Brickell,1917-1931 SW 3rd Ave,Miami,FL,33129-2070,141,8/20/2021,In Construction,25.7588856,-80.2024626,Miami,Miami CBD/North 
943,Candlewood Suites Houston,4710 Federal Plaza Dr,Houston,TX,77092,81,11/27/2022,Final Planning,29.8367477,-95.4832557,Houston,Houston Northwest Freeway 
944,Staybridge Suites Houston,13140 W FM 1960 Rd,Houston,TX,77065-5671,106,9/23/2023,In Construction,29.9183409,-95.6190955,Houston,Houston Northwest Freeway 
945,Comfort Suites Duncan,1550 E Main St,Duncan,SC,29334-9702,90,10/31/2021,In Construction,34.9076475,-82.1029321,Greenville/Spartanburg,Spartanburg 
946,Sleep Inn,1250 Highway 28 Ln,Jasper,TN,37347-3546,56,,Abandoned,35.0522027,-85.6277769,Chattanooga,Chattanooga Area 
947,Cambria Hotels,13205 Burnet Rd,Austin,TX,78727-1324,135,12/1/2021,In Construction,30.431823,-97.698533,Austin,Austin Northwest/Arboretum 
948,Sleep Inn Pullman,51 Fairmount Dr,Pullman,WA,99163,40,4/30/2022,Planning,46.7133208,-117.1826971,Washington State,Washington State Area 
949,Studio 6 Mission,1813 E Expressway 83,Mission,TX,78572,80,1/1/2024,Planning,26.1980456,-98.2985208,McAllen/Brownsville,McAllen 
950,Fairfield Inn & Suites Tulsa Glenpool,12100 S Yukon Ave,Glenpool,OK,74033-6621,95,5/1/2025,Planning,35.9597298,-96.01504,Tulsa,Tulsa South/Broken Arrow 
951,Fairfield Inn & Suites Knoxville Northwest,300 Merchant Dr,Knoxville,TN,37912-3503,90,8/2/2021,In Construction,36.0085775,-83.9711581,Knoxville,Knoxville 
952,Residence Inn Anaheim Brea,905 E Birch St,Brea,CA,92821-5800,147,10/14/2022,Final Planning,33.9188457,-117.881915,Orange County,Orange County Northwest/Fullerton 
953,TownePlace Suites Denver Airport Tower Road,6211 Argonne St,Denver,CO,80249-8814,113,12/2/2021,In Construction,39.810622,-104.770422,Denver,Denver Airport/East 
954,Studio 6 Woodway,7007 Woodway Dr,Woodway,TX,76712-6149,50,10/31/2022,Planning,31.5074509,-97.2014273,Texas West,Waco & Killeen 
955,La Quinta Inns & Suites Novi,25762 Beck Rd,Novi,MI,48374-2214,100,1/31/2025,Planning,42.475629,-83.517682,Detroit,Livonia/West 
956,La Quinta Inns & Suites Grand Rapids,2777 Leffingwell Ave NE,Grand Rapids,MI,49525-3949,100,,Planning,43.0128653,-85.6009281,Grand Rapids & Michigan West,Grand Rapids MI 
957,La Quinta Inn & Suites Troy,1400 MT Elliott St,Detroit,MI,48207,100,1/31/2024,Planning,42.3504246,-83.0136849,Detroit,Detroit/Dearborn 
958,La Quinta Inns & Suites Austin Teri Road,1624 Teri Rd,Austin,TX,78744,115,1/31/2024,In Construction,30.2056206,-97.7570115,Austin,South Austin/Airport 
959,La Quinta Inns & Suites Austin Bergstrom,3080 E Hwy 71,Del Valle,TX,78617,104,10/31/2023,Planning,30.2036678,-97.6437032,Austin,South Austin/Airport 
960,La Quinta Inns & Suites Belton,17119 Bel Ray Pl,Belton,MO,64012-5332,80,10/31/2022,Final Planning,38.812285,-94.4991494,Kansas City,Kansas City Surrounding MO 
961,La Quinta Inns & Suites Meridian,200 N Frontage Rd,Meridian,MS,39301-6141,83,8/31/2023,Planning,32.3651217,-88.6762848,Mississippi,Meridian/East Central Area 
962,La Quinta Inn & Suites San Antonio The Rim,5330 N Loop 1604 W,San Antonio,TX,78249-4383,118,7/31/2024,Planning,29.5936276,-98.5900727,San Antonio,San Antonio Northwest/Sea World 
963,Embassy Suites by Hilton Frederick Jefferson Place,Jefferson Pike,Frederick,MD,21703,174,,Abandoned,39.3926487,-77.4513336,Washington,Frederick/Rockville 
964,Hampton Inn & Suites Charlotte Scaleybark Station,101 Clanton Rd,Charlotte,NC,28217,125,,Deferred,35.192953,-80.874338,Charlotte,Charlotte I-77 & Southpark 
965,Hampton Inn La Grange,807 S 1st,La Grange,KY,40031,76,4/2/2026,Planning,38.3988245,-85.3697839,Louisville,Louisville Area 
966,Hampton Inn & Suites by Hilton The Woodlands Shenandoah,18484 I-45,Conroe,TX,77384-4118,96,7/7/2024,Final Planning,30.1872188,-95.454208,Houston,Houston North/Woodlands 
967,Hampton Inn & Suites by Hilton Santa Rosa,3815 Airway Dr,Santa Rosa,CA,95403,100,12/23/2022,In Construction,38.4815782,-122.7389655,California North,Santa Rosa/Sonoma 
968,Hampton by Hilton Inn & Suites Howell,3990 Grand Oaks Dr,Howell,MI,48843-8526,101,10/31/2021,In Construction,42.5814554,-83.8766101,Detroit,Southfield/Northwest 
969,Home2 Suites by Hilton Collierville,NWC 385 & Houston Levee Rd,Collierville,TN,38017,105,9/29/2023,Final Planning,35.0268387,-89.7239912,Memphis,Memphis East 
970,Home2 Suites by Hilton Rancho Cucamonga Ontario,Haven Ave,Rancho Cucamonga,CA,91730,107,5/25/2022,In Construction,34.0781682,-117.5746981,Inland Empire,Riverside & San Bernardino Center 
971,Home2 Suites by Hilton Houston Downtown,1511 Leeland St,Houston,TX,77002,120,12/8/2023,Final Planning,29.7492218,-95.3637493,Houston,Houston CBD 
972,Tru by Hilton North Augusta,3311 Washington Rd,Augusta,GA,30907-3816,98,3/11/2023,Final Planning,33.5160205,-82.0680648,Augusta,Augusta CBD/North Augusta 
973,Tru by Hilton Lithia Springs,1270 Thornton Rd,Lithia Springs,GA,30122-3225,90,5/13/2021,In Construction,33.7702273,-84.6009026,Atlanta,Atlanta West 
974,Tru by Hilton Clarksville,1100 Bales Blvd,Clarksville,IN,47129-7716,90,2/13/2024,Planning,38.3258255,-85.7565839,Louisville,Louisville CBD 
975,Tru by Hilton Pine Bluff,00 NWQ of I 530 & S Olive St,Pine Bluff,AR,71603,82,3/15/2023,Final Planning,34.1909653,-92.0557666,Arkansas Area,Arkansas South Area 
976,Holiday Inn Montgomery Eastchase,1956 Eastchase Ln,Montgomery,AL,36117-7026,152,8/1/2022,In Construction,32.3554149,-86.1618438,Alabama South,Montgomery 
977,Staybridge Suites Flowood,2620 Lakeland Dr,Flowood,MS,39232,100,6/24/2021,In Construction,32.33003,-90.1151685,Jackson,Jackson CBD/South MS 
978,Staybridge Suites Asheville,188 Hendersonville Rd,Asheville,NC,28803,100,,Deferred,35.5632161,-82.5409261,North Carolina West,Asheville NC 
979,Holiday Inn Express Lawrenceville,830 Legacy Park Dr,Lawrenceville,GA,30043,81,2/25/2023,Final Planning,33.9642675,-84.0246278,Atlanta,Atlanta Northeast 
980,Holiday Inn Express & Suites Nephi,1477 S Main St,Nephi,UT,84648,67,6/15/2022,In Construction,39.686928,-111.836467,Utah Area,Utah Regional 
981,Monarch Casino Resort Spa Black Hawk,488 Main St,Black Hawk,CO,80422,500,,Abandoned,39.7985199,-105.4833827,Denver,Denver West 
982,Sleep Inn,25 Ferguson Blvd,Dry Ridge,KY,41035,40,9/27/2025,Planning,38.6771859,-84.5968181,Cincinnati,Cincinnati South/Airport 
983,Mainstay Suites Dry Ridge,Ferguson Blvd,Dry Ridge,KY,41035,40,9/27/2025,Planning,38.6770894,-84.5970799,Cincinnati,Cincinnati South/Airport 
984,Econo Lodge Inn & Suites,5625 Garth Rd,Baytown,TX,77521-9644,40,12/31/2025,Planning,29.7844024,-94.9802546,Houston,Houston East/Baytown 
985,SpringHill Suites Des Moines Ankeny,1155 SW Prairie Trail Pkwy,Ankeny,IA,50023,95,2/26/2023,Final Planning,41.712226,-93.615342,Des Moines,Des Moines CBD/North 
986,Fairfield Inn & Suites Orlando Apopka,1616 E Semoran Blvd,Apopka,FL,32703-5673,85,9/5/2024,Planning,28.6711094,-81.4794419,Orlando,Orlando North 
987,SpringHill Suites By Marriott Braselton,2100 GA Hwy 211,Braselton,GA,30517,104,2/7/2023,Final Planning,34.1003491,-83.8130669,Atlanta,Atlanta Northeast 
988,SpringHill Suites Everett,11415 Airport Rd,Everett,WA,98204-3746,90,8/31/2023,Final Planning,47.894715,-122.263569,Seattle,Seattle North/Everett 
989,TownePlace Suites Seattle Everett Fairmont,11415 Airport Rd,Everett,WA,98204-3746,83,8/31/2023,Final Planning,47.8949987,-122.2638367,Seattle,Seattle North/Everett 
990,SpringHill Suites Fayetteville,W McMillian Dr,Fayetteville,AR,72701,99,5/26/2023,Final Planning,36.0775475,-94.1962567,Arkansas Area,Fayetteville/Springdale 
991,TownePlace Suites Dallas Frisco,4090 Dallas Pkwy,Frisco,TX,75034,126,7/10/2025,Planning,33.111208,-96.822535,Dallas,West Plano/Frisco 
992,Residence Inn New York JFK Airport,142-30 135th Ave,Jamaica,NY,11436,182,7/21/2021,In Construction,40.6680014,-73.7966748,New York,JFK/Jamaica 
993,Residence Inn Jonesboro,2611 Sumo Loop,Jonesboro,AR,72401,96,6/24/2021,Planning,35.8109058,-90.6673233,Arkansas Area,Arkansas North Area 
994,Fairfield Inn & Suites Manchester,Woodbury Hwy,Manchester,TN,37355,75,2/2/2023,Final Planning,35.45567,-86.045397,Tennessee Area,Tennessee Central Area 
995,Residence Inn Midland Downtown,401 W Missouri Ave,Midland,TX,79701,118,7/10/2025,Planning,31.9956112,-102.0784443,Texas West,Midland & Odessa 
996,AC Hotels by Marriott Napa,2650 Napa Valley Corporate Dr,Napa,CA,94558-6284,150,1/15/2024,Final Planning,38.2520822,-122.2724187,California North,Napa Valley 
997,Residence Inn Napa,2650 Napa Valley Corporate Dr,Napa,CA,94558-6284,100,11/16/2023,Final Planning,38.2519444,-122.2723991,California North,Napa Valley 
998,SpringHill Suites Riverside Redlands,10046 Nevada St,Redlands,CA,92374,96,8/7/2021,In Construction,34.0706671,-117.218071,Inland Empire,Riverside & San Bernardino Center 
999,JW Marriott Tampa Clearwater Beach,691 S Gulfview Blvd,Clearwater Beach,FL,33767,166,6/12/2023,In Construction,27.9660142,-82.8246281,Tampa,Clearwater 
1000,AC Hotels by Marriott @ Los Angeles Downtown,1248 S Figueroa St,Los Angeles,CA,90015,347,10/27/2022,In Construction,34.0407578,-118.2674744,Los Angeles,Los Angeles CBD 
1001,MOXY Los Angeles Downtown,1248 S Figueroa St,Los Angeles,CA,90015-2851,380,10/27/2022,In Construction,34.0410009,-118.267317,Los Angeles,Los Angeles CBD 
1002,Hilton Garden Inn @ Fig + Pico,601 W Pico Blvd,Los Angeles,CA,90015,342,,Unconfirmed,34.0404456,-118.2669641,Los Angeles,Los Angeles CBD 
1003,Unnamed Boutique Hotel @ The Landmark,300-310 W Liberty St,Louisville,KY,40202-3043,120,,Planning,38.2526424,-85.7558645,Louisville,Louisville CBD 
1004,Unnamed Hotel @ Lake Acworth Drive,6045 Lake Acworth Dr,Acworth,GA,30101-5065,88,,Planning,34.0768892,-84.6551339,Atlanta,Atlanta Northwest 
1005,Tru by Hilton Lewisburg,100 Grand Ave,Lewisburg,WV,24901,84,,Unconfirmed,37.8128304,-80.4326469,West Virginia,West Virginia South Area 
1006,Tru by Hilton Chattanooga Downtown,515 Chestnut St,Chattanooga,TN,37402,114,8/21/2024,Planning,35.0506771,-85.3125095,Chattanooga,Chattanooga 
1007,La Quinta Inns & Suites Dallas Mira Lago,1 Mira Lago Blvd,Farmers Branch,TX,75234,68,2/28/2023,Final Planning,32.9054809,-96.9236299,Dallas,Farmers Branch/Stemmons Fwy North 
1008,La Quinta Inns & Suites El Paso,SWQ I-10 & 375,El Paso,TX,79907,70,10/31/2023,Final Planning,31.7012888,-106.2873992,Texas West,El Paso 
